1000086,1,1930-07-14,90,1970-12-30,2017-07-16
1000093,0,1957-03-29,63,1970-12-30,2020-03-23
1000091,0,1970-12-30,29,1970-12-30,2020-03-23
1000094,0,1953-01-05,67,1970-12-30,2020-03-23
1000089,0,1970-12-30,5,1970-12-30,2020-03-23
1000092,1,1959-02-09,61,1970-12-30,2020-03-23
1000095,0,1957-07-29,63,1970-12-30,2020-03-23
1000096,1,1970-12-30,48,1970-12-30,2020-03-23
1000090,1,1945-03-17,75,1970-12-30,2020-03-23
1000099,0,1927-03-30,93,1970-12-30,2020-03-23
1000098,0,2003-02-18,12,2003-02-18,2020-03-23
1000097,0,1922-04-17,98,1970-12-30,2020-03-23
1000087,0,1970-12-30,45,1970-12-30,2020-03-23
1000078,1,1970-12-30,41,1970-12-30,2020-03-23
1000077,0,1957-11-01,63,1970-12-30,2020-03-23
1000100,0,1970-12-30,15,1970-12-30,2020-03-23
